(0, 0)
(2, 1)
(4, 2)
(6, 3)
(8, 0)
(9, 1)
(11, 2)
(13, 3)
(15, 4)
(17, 1)
(19, 2)
(20, 3)
(22, 4)
(24, 5)
(26, 6)
(28, 7)
(30, 8)
(32, 1)
(34, 3)
(36, 4)
(38, 5)
(40, 6)
(42, 7)
(44, 8)
(46, 9)
(48, 10)
(50, 11)
(52, 1)
(54, 3)
(56, 4)
(58, 5)
(60, 6)
(62, 7)
(64, 9)
(66, 10)
(68, 11)
(70, 12)
(72, 13)
(74, 14)
(76, 15)
(78, 1)
(80, 3)
(82, 4)
(84, 5)
(86, 6)
(88, 7)
(90, 9)
(92, 10)
(94, 11)
(96, 12)
(98, 13)
(100, 14)
(102, 15)
(104, 3)
(106, 4)
(108, 5)
(110, 6)
(112, 7)
(114, 9)
(116, 10)
(118, 11)
(120, 12)
(122, 13)
(124, 14)
(126, 15)
(128, 3)
(130, 4)
(132, 5)
(134, 6)
(136, 7)
(138, 9)
(140, 10)
(142, 12)
(144, 13)
(146, 14)
(148, 15)
(150, 3)
(152, 4)
(154, 6)
(156, 7)
(157, 9)
(159, 10)
(161, 12)
(163, 13)
(165, 14)
(167, 15)
(169, 3)
(171, 4)
(173, 6)
(175, 9)
(177, 10)
(178, 13)
(180, 14)
(182, 15)
(184, 3)
(186, 4)
(188, 6)
(190, 9)
(192, 14)
(194, 15)
(196, 3)
(198, 4)
(200, 6)
(202, 9)
(204, 14)
(206, 15)
(208, 3)
(210, 4)
(212, 6)
(214, 9)
(216, 14)
(218, 15)
(220, 3)
(222, 4)
(224, 6)
(226, 9)
(228, 14)
(230, 15)
(232, 3)
(234, 4)
(236, 6)
(238, 9)
(240, 14)
(242, 15)
(244, 3)
(246, 4)
(248, 6)
(250, 9)
(252, 14)
(254, 15)
(256, 3)
(258, 4)
(259, 6)
(261, 9)
(263, 14)
(265, 15)
(267, 3)
(269, 6)
(271, 9)
(273, 14)
(275, 15)
(277, 3)
(279, 6)
(281, 9)
(283, 14)
(285, 15)
(287, 3)
(289, 6)
(291, 9)
(293, 14)
(295, 15)
(297, 6)
(299, 9)
(301, 14)
(303, 15)
(305, 6)
(307, 9)
(309, 14)
(311, 15)
(313, 6)
(315, 9)
(317, 14)
(319, 15)
(321, 6)
(323, 9)
(325, 14)
(327, 15)
(329, 6)
(331, 9)
(333, 14)
(335, 15)
(337, 6)
(339, 9)
(341, 14)
(343, 15)
(345, 6)
(347, 9)
(349, 14)
(351, 15)
(353, 6)
(355, 9)
(357, 14)
(359, 15)
(361, 6)
(363, 9)
(365, 14)
(367, 15)
(369, 6)
(370, 9)
(372, 14)
(374, 15)
(376, 9)
(378, 14)
(380, 15)
(382, 9)
(384, 14)
(386, 15)
(388, 9)
(390, 14)
(392, 15)
(394, 14)
(396, 15)
Average waiting time 145.06 
